empresa,año,trimestre,archivo,escala_detectada,efectivo,activo_corriente,activo_total,pasivo_corriente,pasivo_no_corriente,pasivo_total,patrimonio_total,ganancias_retenidas,inventarios,deuda_cp,deuda_lp,ingresos,utilidad_neta,utilidad_operativa,gastos_financieros,impuesto_renta,depreciacion_amortizacion
ISAGEN,2020,4,CIERRE 2020.xbrl,1e-06,83748.53035999999,644453.4498589999,18628651.582927,431130.651664,12239032.964282999,12670163.615946999,5958487.96698,1268261.351595,34137.729912999996,184413.77128,8817747.046999998,3211249.882066,496129.202162,1570268.031161,-821768.318021,-240439.964659,12397.337040999999
ISAGEN,2021,1,Q1 2021.xbrl,1e-06,108113.19391199999,637530.621516,19049194.992317,373788.082043,12430097.652402999,12803885.734446,6245309.257871,1268261.351595,34627.534823,174877.70698299998,8979064.795183,805979.15476,236938.31587299999,456170.30387899996,-164914.670031,-50592.547145,3026.187504
ISAGEN,2021,2,Q2 2021.xbrl,1e-06,410046.175955,1034704.399937,19473994.801105,439503.232977,13466782.810371,13906286.043348,5567708.757757,1268261.351595,34895.767111,197645.708514,10241964.872498,1590756.308983,443906.60058599996,904132.443738,-343209.231942,-124009.19385899999,6048.339929
ISAGEN,2021,3,Q3 2021.xbrl,1e-06,141521.858969,838753.117618,19275695.152652998,484426.307237,13557929.862947,14042356.170184,5233338.982469,1268261.351595,35748.779642,190697.199525,10016176.794188,2452645.971962,90005.853493,1397005.989319,-532530.114431,-782202.307377,9075.233583
ISAGEN,2021,4,CIERRE 2021.xbrl,1e-06,172826.714418,993775.6171779999,21121291.278846,516522.13003899995,14925699.299649999,15442221.429689,5679069.849157,1268261.351595,35704.870165,232182.419714,10713431.584178,3481508.064357,523126.55609599996,2010051.342865,-731987.768334,-763221.7149029999,12107.240467
ISAGEN,2022,1,Q1 2022.xbrl,1e-06,735488.724937,1555483.615506,21702224.950356,530957.520254,15080231.819485,15611189.339738999,6091035.610617,1268261.351595,37488.549302,245345.867442,11378147.574221,1192692.033682,360020.78077899996,790688.454224,-250780.69720499997,-178084.230679,3035.615978
ISAGEN,2022,2,Q2 2022.xbrl,1e-06,188145.184503,1009644.7451279999,22859833.272032,862196.6421129999,17065185.596536,17927382.238649,4932451.033383,1268261.351595,38109.774407,497603.20757599996,13124091.028381,2265407.283192,607319.686747,1429241.8847049999,-528708.524922,-311112.864674,6080.05696
ISAGEN,2022,3,Q3 2022.xbrl,1e-06,376280.99890299997,1430877.8844259998,23678445.941960998,1214093.611887,17205513.140113,18419606.752,5258839.189960999,1268261.351595,38518.541818,758892.6698179999,13090409.037884,3453386.708392,914518.133541,2175781.21287,-912037.970934,-464612.78736699995,9173.231833
ISAGEN,2022,4,CIERRE 2022.xbrl,1e-06,309200.44539099996,1431562.124601,23808061.966282,1333190.59289,16910525.005838,18243715.598727997,5564346.367554,1268261.351595,27889.046571,736513.775945,13351933.404957,4816989.92959,1233837.9102659998,2969610.2728589997,-1317579.83568,-635121.672715,12655.353616
ISAGEN,2023,1,Q1 2023.xbrl,1e-06,860465.9352579999,1966041.0707649998,24269238.31729,1508916.210368,16844683.558546,18353599.768914,5915638.548376,1268261.351595,29043.02353,833030.608347,13267610.090266999,1347150.772221,397336.42510299996,884455.762536,-426573.157069,-190593.30841199998,4043.3074899999997
ISAGEN,2023,2,Q2 2023.xbrl,1e-06,232487.176032,1136718.034203,23056858.59813,1028681.5044709999,16909187.8175,17937869.321971,5118989.276159,1268261.351595,29670.465897,506588.61819099996,13299477.349608999,2635778.5449179998,700105.028341,1642498.1531709998,-894334.007882,-327875.543482,8142.064503
ISAGEN,2023,3,Q3 2023.xbrl,1e-06,222785.91995699998,1261855.651927,23200712.266744997,1319880.551917,16600665.420099,17920545.972016,5280166.294729,1268261.351595,29867.739115,775601.679011,13533636.533793999,3962408.0062679998,857804.934145,2259865.628987,-1385907.388653,-390999.288781,12251.922438
ISAGEN,2023,4,CONSOLIDADO CIERRE 2023.xbrl,1e-06,220352.378389,1279907.151628,23727387.139663998,1216189.157845,17082033.108159,18298222.266004,5429164.87366,1268261.351595,29525.906519,1183419.452821,13696364.263642998,5523362.199194999,1035242.62772,2905984.457391,-1869998.911434,-477536.459092,19659.371058
ISAGEN,2024,1,Q1 2024.xbrl,1e-06,225762.79774799998,1386579.884258,23891287.871014,1563667.070175,16712289.794280998,18275956.864455998,5615331.006558,1268350.663198,30886.316974999998,1156085.98236,12911074.485640999,1349620.5891139999,198087.870448,657336.5804409999,-465291.664787,-102411.499868,4699.812333
ISAGEN,2024,2,Q2 2024.xbrl,1e-06,318568.47728299996,1432948.5974029999,23916564.290393,1560223.4297709998,17442190.414646,19002413.844417,4914150.445975999,1268350.663198,30847.571437,1280948.0826909998,13594773.873616,2588801.259585,255639.554167,1110799.707526,-919088.623316,-131682.93264699998,9233.756539
ISAGEN,2024,3,Q3 2024.xbrl,1e-06,152653.77901899998,1505311.6917019999,23915847.419108,1280119.13771,17442993.835376,18723112.973086,5192734.446022,1268350.663198,32174.180282999998,787498.5806659999,13572764.507529,4170207.556674,543886.62618,1923699.0948639999,-1389376.26785,-280225.120114,13778.317919
ISAGEN,2024,4,CIERRE 2024.xbrl,1e-06,447197.05571,1381012.7715049998,24293248.340485,1206751.4121309998,17524915.235675998,18731666.647807,5561581.692678,1268350.663198,33172.006795,749153.869682,13654102.831992,6095701.037532,904615.5979149999,2738482.926877,-1841209.2694259998,-389143.486734,24599.068307999998
ISAGEN,2025,1,Q1 2025.xbrl,1e-06,405756.91121,1976547.582002,24826759.277084,917202.8214509999,17999117.939494,18916320.760945,5910438.516139,1268350.663198,36112.924517,465818.561672,14054334.259312999,1425880.5459989998,344550.23245899996,874629.112647,-430075.689387,-177381.494166,5596.7349349999995
ISAGEN,2025,2,Q2 2025.xbrl,1e-06,111346.682365,3899447.7733469997,25379502.800803,1362615.997526,18573234.4767,19935850.474225998,5443652.326576999,1268350.663198,36782.215126999996,890965.9198029999,14368629.572298998,2556557.111896,401284.223948,1454363.317594,-918699.311644,-209638.32620399998,6143.978039
ISAGEN,2025,3,Q3 2025.xbrl,1e-06,229542.93642699998,3923480.853475,25865252.863743998,1661631.810363,18515826.272868,20177458.083231,5687794.780513,1268350.663198,41303.59085,864079.7482789999,13524416.243707,3847513.969488,606104.234818,2179442.004094,-1365328.438015,-183247.538266,18653.226751
ISAGEN,2025,4,CIERRE 2025.xbrl,1e-06,173857.066077,4020184.197927,25989635.428567998,1712864.136827,18353585.995019,20066450.131846,5923185.2967219995,1268350.663198,41497.121989,1156139.721005,13281606.088925,5227522.586422999,882203.2278059999,2872390.550364,-1838668.886465,-321109.832023,27152.09767
ISAGEN,2026,1,Q1 2026.xbrl,1e-06,938597.7081909999,4876164.994368,26555037.795672998,1358737.427829,19222956.778118998,20581694.205948,5973343.589725,1268350.663198,41281.291921,863508.327891,14084219.313144999,1167110.70985,45001.361803,587081.586166,-540238.769674,-34237.904493999995,6235.360645
ISAGEN,2026,2,Q2 2026.xbrl,1e-06,287142.418911,6007037.158658,25920552.105343,2215538.26302,18270029.604993,20485567.868013,5434984.23733,1268350.663198,36456.886726,1172181.989138,13445289.484226,2677243.92406,165533.332596,1391701.298366,-1201372.108429,-99385.94713,7754.104143
