empresa,año,trimestre,archivo,escala_detectada,efectivo,activo_corriente,activo_total,pasivo_corriente,pasivo_no_corriente,pasivo_total,patrimonio_total,ganancias_retenidas,inventarios,deuda_cp,deuda_lp,ingresos,utilidad_neta,utilidad_operativa,gastos_financieros,impuesto_renta,depreciacion_amortizacion,ingresos_trim,utilidad_neta_trim,gastos_financieros_trim,utilidad_operativa_trim,impuesto_renta_trim,depreciacion_amortizacion_trim,revisar_manualmente,ingresos_ltm,utilidad_neta_ltm,gastos_financieros_ltm,utilidad_operativa_ltm,impuesto_renta_ltm,depreciacion_amortizacion_ltm,ebitda_final_ltm,deuda_bruta_ebitda,deuda_neta_ebitda,pasivo_activo,deuda_patrimonio,perfil_vencimientos_cp,cobertura_intereses,ffo_intereses,ffo_deuda,razon_corriente,prueba_acida,caja_activos,caja_deuda_cp,margen_ebitda,margen_neto,zscore_x1,zscore_x2,zscore_x3,zscore_x4,zscore,zscore_zona
ENEL,2020,4,CIERRE 2020.xbrl,0.001,821190.708,1212618.098,9495090.57,1959938.585,2378927.641,4338866.226,5156224.3440000005,2583278.68,102199.837,1806053.806,1856720.301,4247728.2530000005,1283908.535,2242113.319,-281485.444,-697727.218,,1024158.0370000005,325887.4679999999,-44822.725000000006,520990.05000000005,-158795.71600000001,,,4247728.2530000005,1283908.535,-281485.444,2242113.319,-697727.218,,2263121.1969999997,1.6184613143367594,1.2556037223135956,0.4569589088184969,0.7103597249918262,0.49308358998946045,8.03992265049414,4.561189796371849,0.35052899728276904,0.6187020895861387,0.5665576817040928,0.08648582148279603,0.45468784222921427,0.5327838934615574,0.30225769129492375,-0.07870598826736626,0.2720646697317391,0.23613395811979074,1.1883805758062107,6.455239343453062,segura
ENEL,2021,1,Q1 2021.xbrl,0.001,472763.07,906995.512,9160652.667,2392053.896,2380860.757,4772914.653,4387738.014,2711593.892,117607.926,505957.95,1856795.223,1013887.307,393800.686,582302.076,-32836.254,-156247.36000000002,4916.243,1013887.307,393800.686,-32836.254,582302.076,-156247.36000000002,4916.243,,4194107.579000001,1315410.781,-258225.005,2235640.4620000003,-685543.9299999999,,2259179.716,1.0458456032809034,0.836582450530465,0.5210234277513625,0.5384900295918169,0.21413914740725226,8.748880519917117,5.094048816070311,0.5567279714325032,0.3791701823761917,0.3300040970314324,0.05160801169801628,0.9343920181509155,0.5386556432914997,0.31363305690733684,-0.16211272689660206,0.2960044431952045,0.2440481637354934,0.9192994916098284,5.756783122867493,segura
ENEL,2021,2,Q2 2021.xbrl,0.001,454144.255,866776.505,9097875.583,1887361.094,2389993.962,4277355.056,4820520.527,2711593.892,116126.311,863236.0930000001,1856872.136,2148435.315,818689.952,1236380.01,-77388.186,-342668.893,,1134548.008,424889.26600000006,-44551.932,654077.934,-186421.53299999997,,,4259556.248000001,1383377.132,-239239.456,2327055.8850000002,-718884.781,,2341501.369,1.1616940587831877,0.9677397604801488,0.4701487745108901,0.5642768688079483,0.3173535831393568,9.787270913205887,5.782395408891081,0.508574297614832,0.4592531380219285,0.3977247366104708,0.04991761547592489,0.5260950725794085,0.5497054699299746,0.3247702463489102,-0.11217834094225598,0.2980469305457197,0.25578013941499295,1.1269862950091276,6.387921223626184,segura
ENEL,2021,3,Q3 2021.xbrl,0.001,383394.002,852227.832,9084245.584,2282835.244,2167445.737,4450280.981,4633964.603,2096111.818,109955.57,1297586.297,1582698.691,3424608.987,1250187.13,1976195.563,-129713.485,-599668.323,,1276173.6720000003,431497.17799999984,-52325.299,739815.5530000001,-256999.43,,,4448767.024,1576074.5979999998,-174536.21000000002,2497185.613,-758464.039,,2509074.8469999996,1.147947017779817,0.9951440822841267,0.48988999029685404,0.6215595574759724,0.45050621810205405,14.375669363967507,9.030072315653006,0.5471939771815385,0.37331990306349067,0.3251536719309561,0.042204275352844746,0.29546705516727567,0.563993311734276,0.3542722263264105,-0.15748224756491785,0.23074143016255116,0.27489190928504514,1.041274612273746,5.9097454915869925,segura
ENEL,2021,4,CIERRE 2021.xbrl,0.001,213701.458,667858.311,9036678.938,1519710.397,2415069.971,3934780.368,5101898.57,2096111.818,94157.639,1246389.916,1771817.266,4722685.057,1712321.388,2703006.822,-182299.775,-814374.147,,1298076.0699999998,462134.25800000015,-52586.28999999999,726811.2590000001,-214705.82400000002,,,4722685.057,1712321.388,-182299.775,2703006.822,-814374.147,,2708995.31,1.1141426383643314,1.0352567660960623,0.4354232782857777,0.5915851012302661,0.41295704398068717,14.860113294160676,9.39288810422284,0.5673306319764765,0.43946419812511156,0.3775065783142102,0.023648229561566838,0.17145634384288458,0.5736133740243183,0.36257369850695087,-0.09426605635150874,0.23195599095433972,0.2991150665576518,1.2966158445568416,6.759291084897353,segura
ENEL,2022,1,Q1 2022.xbrl,0.001,2020350.242,5559724.255,27469394.543,8563057.772,6203894.095,14766951.867,12702442.676,3137973.069,360874.662,3398595.248,4629658.609,1953518.671,583160.453,979690.57,-93272.511,-312175.382,20673.135,1953518.671,583160.453,-93272.511,979690.57,-312175.382,20673.135,,5662316.421,1901681.155,-242736.032,3100395.316,-970302.169,,3114719.3559999997,2.5775207777660216,1.9288747807813735,0.5375783526602353,0.6320244115069762,0.42332932024025305,12.831714065425604,7.83435874489371,0.23687357037693624,0.6492685677281683,0.6071253670621621,0.07354913625188889,0.5944662704948265,0.5500786470442287,0.3358486198240669,-0.10933380829703568,0.11423524694320744,0.11286726073072735,0.8601939513588042,4.566848763643534,segura
ENEL,2022,2,Q2 2022.xbrl,0.001,2067277.814,5989528.282000001,28364274.443,7478211.687,6865405.028,14343616.715,14020657.728,3137973.069,412097.425,3069221.491,5317712.456,5190182.262,1383573.366,2446068.651,-284588.341,-751770.481,,3236663.591,800412.913,-191315.83000000002,1466378.0810000002,-439595.09900000005,,,7764432.004000001,2277204.802,-389499.93,3912695.4630000005,-1223475.7349999999,,3890180.467,2.155924132092456,1.6245149001721106,0.5056930591975657,0.5981840588156465,0.36595274392233146,9.987628154387602,5.846483212461682,0.27151815149498754,0.8009305610340101,0.7458241475961044,0.07288315511663589,0.673551198589597,0.501025762733951,0.293286720886583,-0.05248445215799943,0.11063117709236586,0.13794449319910637,0.9774841315536366,5.21970496359395,segura
ENEL,2022,3,Q3 2022.xbrl,0.001,2265079.365,6115600.184,29256088.286,6552711.916,7258533.984,13811245.9,15444842.386,3137973.069,450058.702,2549071.319,5677009.322000001,9059065.486,2260424.169,3946336.704,-502716.883,-1235939.304,,3868883.2239999995,876850.8030000003,-218128.54199999996,1500268.0529999998,-484168.823,,ingresos_trim,10357141.556,2722558.427,-555303.173,4673147.9629999995,-1450645.128,,4728506.728,1.7396783200685764,1.2606519603116446,0.47208108496887247,0.5326102031611889,0.3098767724565028,8.515180459809836,4.902832469498604,0.33096665907095135,0.9332930033239081,0.8646101880606467,0.07742249554544567,0.8885900320311909,0.4565455345409204,0.26286774321654355,-0.014940880945084247,0.10725880501603571,0.15973249456032898,1.1182801680476921,5.749248065248011,segura
ENEL,2022,4,CIERRE 2022.xbrl,0.001,1215342.798,4725840.115,29663271.629,5430258.562,7919644.797,13349903.359,16313368.27,3137973.069,469017.806,2346359.353,5930600.508,12100256.34,2859963.898,5083658.28,-774195.278,-1540448.212,,3041190.8540000003,599539.7289999998,-271478.3950000001,1137321.5760000004,-304508.90800000005,,,12100256.34,2859963.898,-774195.278,5083658.28,-1540448.212,,5174607.388,1.5995338854488568,1.3646672169517646,0.4500482457217767,0.5073728321465767,0.28348081812692505,6.6838529438822025,3.694111781963103,0.34553313608246333,0.8702790228204975,0.7839078490273923,0.040971299902463634,0.5179695925289922,0.42764444343994784,0.23635564550362245,-0.023747159646117122,0.10578647926118143,0.17137888037373505,1.2219839972850548,5.87383182837373,segura
ENEL,2023,1,Q1 2023.xbrl,0.001,2050304.092,5860836.148,30738252.632,8866337.027,7863012.835,16729349.862,14008902.77,3290302.981,535321.333,1476315.72,5832935.62,3772836.174,798297.461,1469406.831,-298279.466,-464007.955,67795.736,3772836.174,798297.461,-298279.466,1469406.831,-464007.955,67795.736,,13919573.843,3075100.906,-979202.233,5573374.541,-1692280.7850000001,,5746583.924000001,1.271929799802224,0.9151432081304098,0.5442518175084533,0.5217575894418175,0.2019790606899557,5.868638500132996,3.1404145153741703,0.42071352631855186,0.6610211330961624,0.600644302013628,0.06670203789871695,1.3887978460325545,0.4128419439284698,0.2209191847885799,-0.09777721964166336,0.10704261626032173,0.18131722084936763,0.8373847690172719,5.055246099735223,segura
